year,month,day,gender,births
1975,11,1,M,1
1976,9,1,M,1
1977,5,1,M,1
1978,11,1,M,1
1979,2,1,M,1
1979,4,1,M,1
1981,10,1,M,1
1984,2,1,M,1
1984,3,1,M,1
1984,4,1,M,1
1985,1,1,M,1
1985,11,1,M,1
1986,7,1,M,1
1986,11,1,M,1
1986,12,1,M,1
1988,3,1,M,1
1988,6,1,M,1
1988,10,1,M,1
1971,2,2,M,2
1971,4,2,M,2
1972,2,2,M,2
1972,9,2,M,2
1973,4,2,M,2
1973,9,2,M,2
1974,2,2,M,2
1974,2,2,M,2
1974,4,2,M,2
1974,6,2,M,2
1974,11,2,M,2
1975,4,2,M,2
1975,6,2,M,2
1975,9,2,M,2
1976,7,2,M,2
1976,10,2,M,2
1977,2,2,M,2
1977,3,2,M,2
1977,6,2,M,2
1977,8,2,M,2
1978,2,2,M,2
1978,2,2,M,2
1978,4,2,M,2
1978,4,2,M,2
1978,5,2,M,2
1978,12,2,M,2
1979,3,2,M,2
1979,5,2,M,2
1979,6,2,M,2
1979,8,2,M,2
1979,10,2,M,2
1980,3,2,M,2
1980,6,2,M,2
1980,11,2,M,2
1981,1,2,M,2
1981,6,2,M,2
1981,8,2,M,2
1981,12,2,M,2
1982,6,2,M,2
1983,1,2,M,2
1983,8,2,M,2
1983,9,2,M,2
1984,6,2,M,2
1978,6,3,M,3
1978,9,3,M,3
1978,11,3,M,3
1979,12,3,M,3
1980,4,3,M,3
1980,10,3,M,3
1981,2,3,M,3
1983,10,3,M,3
1984,1,3,M,3
1984,11,3,M,3
1987,2,3,M,3
1971,11,4,M,4
1972,4,4,M,4
1972,11,4,M,4
1973,2,4,M,4
1973,5,4,M,4
1975,1,4,M,4
1975,2,4,M,4
1975,10,4,M,4
1976,8,4,M,4
1976,9,4,M,4
1976,12,4,M,4
1977,11,4,M,4
1977,12,4,M,4
1978,6,4,M,4
1979,11,4,M,4
1981,7,4,M,4
1981,11,4,M,4
1982,2,4,M,4
1982,3,4,M,4
1982,10,4,M,4
1982,11,4,M,4
1982,12,4,M,4
1984,7,4,M,4
1985,2,4,M,4
1986,2,4,M,4
1975,9,5,M,5
1978,9,5,M,5
1984,8,5,M,5
1970,2,6,M,6
1971,2,6,M,6
1972,5,6,M,6
1973,6,6,M,6
1974,7,6,M,6
1975,4,6,M,6
1976,4,6,M,6
1977,6,6,M,6
1977,9,6,M,6
1977,9,6,M,6
1977,10,6,M,6
1977,11,6,M,6
1980,9,6,M,6
1982,1,6,M,6
1982,7,6,M,6
1983,2,6,M,6
1983,3,6,M,6
1974,9,7,M,7
1971,3,8,M,8
1971,6,8,M,8
1972,3,8,M,8
1972,4,8,M,8
1973,9,8,M,8
1974,5,8,M,8
1975,3,8,M,8
1975,5,8,M,8
1975,6,8,M,8
1975,7,8,M,8
1975,12,8,M,8
1977,7,8,M,8
1978,2,8,M,8
1978,8,8,M,8
1978,10,8,M,8
1982,4,8,M,8
1974,2,9,M,9
1975,2,9,M,9
1975,8,9,M,9
1976,5,9,M,9
1982,8,9,M,9
1983,6,9,M,9
1971,12,10,M,10
1972,7,10,M,10
1972,8,10,M,10
1972,10,10,M,10
1973,11,10,M,10
1974,4,10,M,10
1974,8,10,M,10
1974,11,10,M,10
1979,9,11,M,11
1983,4,11,M,11
1970,2,12,M,12
1971,1,12,M,12
1971,6,12,M,12
1972,1,12,M,12
1973,3,12,M,12
1973,4,12,M,12
1973,6,12,M,12
1976,6,12,M,12
1976,11,12,M,12
1983,7,12,M,12
1970,6,14,M,14
1971,2,14,M,14
1971,4,14,M,14
1971,7,14,M,14
1971,9,14,M,14
1973,7,14,M,14
1973,10,14,M,14
1974,9,14,M,14
1976,2,14,M,14
1969,2,16,M,16
1971,11,16,M,16
1972,2,16,M,16
1974,3,16,M,16
1976,3,17,M,17
1970,4,18,M,18
1976,1,18,M,18
1969,2,20,M,20
1970,11,20,M,20
1971,8,20,M,20
1972,6,20,M,20
1973,12,20,M,20
1974,1,20,M,20
1971,5,22,M,22
1972,11,22,M,22
1973,2,22,M,22
1973,8,22,M,22
1973,11,22,M,22
1974,10,22,M,22
1974,12,22,M,22
1969,4,24,M,24
1972,12,24,M,24
1974,6,24,M,24
1972,9,26,M,26
1973,1,26,M,26
1969,2,28,M,28
1971,10,28,M,28
1969,9,30,M,30
1970,9,34,M,34
1969,1,38,M,38
1969,6,40,M,40
1969,7,44,M,44
1970,2,44,M,44
1969,2,48,M,48
1969,6,48,M,48
1969,9,48,M,48
1969,10,48,M,48
1969,3,50,M,50
1971,9,50,M,50
1969,5,52,M,52
1969,12,54,M,54
1970,1,54,M,54
1969,11,56,M,56
1969,8,58,M,58
1969,11,62,M,62
1969,4,66,M,66
1970,4,68,M,68
1970,5,72,M,72
1970,2,78,M,78
1970,6,86,M,86
1970,8,104,M,104
1970,9,114,M,114
1970,11,118,M,118
1970,7,120,M,120
1970,3,140,M,140
1970,12,220,M,220
1970,10,270,M,270
1976,5,3402,M,3402
1973,5,3439,M,3439
1974,12,3439,M,3439
1974,5,3455,M,3455
1973,12,3471,M,3471
1976,4,3497,M,3497
1973,4,3508,M,3508
1973,5,3514,M,3514
1974,12,3519,M,3519
1974,5,3523,M,3523
1974,4,3545,M,3545
1974,3,3550,M,3550
1975,4,3553,M,3553
1975,6,3554,M,3554
1975,1,3559,M,3559
1974,5,3561,M,3561
1975,4,3579,M,3579
1976,1,3583,M,3583
1973,10,3589,M,3589
1975,4,3590,M,3590
1976,3,3593,M,3593
1973,11,3597,M,3597
1976,4,3605,M,3605
1974,1,3615,M,3615
1973,5,3617,M,3617
1973,12,3619,M,3619
1976,12,3621,M,3621
1974,6,3622,M,3622
1976,3,3624,M,3624
1976,5,3624,M,3624
1974,4,3625,M,3625
1976,1,3627,M,3627
1973,4,3631,M,3631
1975,3,3636,M,3636
